No.,正誤,分野名,大分類,中分類,出典,学習日
38,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q67.html"",""令和4年秋期 問67"")",2024/8/17
39,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q63.html"",""令和4年秋期 問63"")",2024/8/17
40,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q9.html"",""令和4年秋期 問9"")",2024/8/17
41,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q29.html"",""令和4年秋期 問29"")",2024/8/17
42,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q25.html"",""令和4年秋期 問25"")",2024/8/17
43,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q37.html"",""令和4年秋期 問37"")",2024/8/17
44,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q7.html"",""令和4年秋期 問7"")",2024/8/17
45,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q50.html"",""令和4年秋期 問50"")",2024/8/17
46,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q18.html"",""令和4年秋期 問18"")",2024/8/17
47,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q56.html"",""令和4年秋期 問56"")",2024/8/17
48,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q4.html"",""令和4年秋期 問4"")",2024/8/17
49,×,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q65.html"",""令和4年秋期 問65"")",2024/8/17
50,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q8.html"",""令和4年秋期 問8"")",2024/8/17
51,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q39.html"",""令和4年秋期 問39"")",2024/8/17
52,×,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q66.html"",""令和4年秋期 問66"")",2024/8/17
53,×,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q24.html"",""令和4年秋期 問24"")",2024/8/17
54,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q79.html"",""令和4年秋期 問79"")",2024/8/17
55,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q43.html"",""令和4年秋期 問43"")",2024/8/17
56,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q16.html"",""令和4年秋期 問16"")",2024/8/17
57,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q28.html"",""令和4年秋期 問28"")",2024/8/17
58,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q22.html"",""令和4年秋期 問22"")",2024/8/17
59,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q80.html"",""令和4年秋期 問80"")",2024/8/17
60,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q13.html"",""令和4年秋期 問13"")",2024/8/17
61,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q78.html"",""令和4年秋期 問78"")",2024/8/17
62,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q61.html"",""令和4年秋期 問61"")",2024/8/17
63,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q36.html"",""令和4年秋期 問36"")",2024/8/17
64,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q41.html"",""令和4年秋期 問41"")",2024/8/17
65,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q3.html"",""令和4年秋期 問3"")",2024/8/17
66,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q14.html"",""令和4年秋期 問14"")",2024/8/17
67,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q32.html"",""令和4年秋期 問32"")",2024/8/17
68,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q54.html"",""令和4年秋期 問54"")",2024/8/17
69,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q45.html"",""令和4年秋期 問45"")",2024/8/17
70,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q69.html"",""令和4年秋期 問69"")",2024/8/17
71,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q40.html"",""令和4年秋期 問40"")",2024/8/17
72,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q10.html"",""令和4年秋期 問10"")",2024/8/17
73,×,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q60.html"",""令和4年秋期 問60"")",2024/8/17
74,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q76.html"",""令和4年秋期 問76"")",2024/8/17
75,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q48.html"",""令和4年秋期 問48"")",2024/8/17
76,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q62.html"",""令和4年秋期 問62"")",2024/8/17
77,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q1.html"",""令和4年秋期 問1"")",2024/8/17
78,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q21.html"",""令和4年秋期 問21"")",2024/8/17
79,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q30.html"",""令和4年秋期 問30"")",2024/8/17
80,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q34.html"",""令和4年秋期 問34"")",2024/8/17
